main_key,dayofweek,origin_period,origin,origin_name,duration,arrival_time,destination,destination_name,load_factor,tomorrow?,minimal_n_departures,total_penumpang,maximal_load_factor
BBT-BKSOC,Sunday,2023-11-10 12:00:00,BBT,BANDUNG BUAH BATU,0 days 02:00:00,2023-11-10 14:00:00,BKSOC,BEKASI BEBEK OCEN,27.06896551724138,0 days,1.0,5.0,27.06896551724138
BBT-BKSOC,Sunday,2023-11-10 13:00:00,BBT,BANDUNG BUAH BATU,0 days 02:00:00,2023-11-10 15:00:00,BKSOC,BEKASI BEBEK OCEN,68.46153846153847,0 days,1.0,7.0,68.46153846153847
BBT-BKSOC,Sunday,2023-11-10 14:00:00,BBT,BANDUNG BUAH BATU,0 days 02:00:00,2023-11-10 16:00:00,BKSOC,BEKASI BEBEK OCEN,80.0,0 days,1.0,8.0,80.0
BBT-BKSOC,Sunday,2023-11-10 15:00:00,BBT,BANDUNG BUAH BATU,0 days 02:00:00,2023-11-10 17:00:00,BKSOC,BEKASI BEBEK OCEN,100.0,0 days,1.0,9.0,100.0
BBT-BKSOC,Sunday,2023-11-10 16:00:00,BBT,BANDUNG BUAH BATU,0 days 02:00:00,2023-11-10 18:00:00,BKSOC,BEKASI BEBEK OCEN,88.57142857142857,0 days,1.0,10.0,88.57142857142857
BBT-BKSOC,Sunday,2023-11-10 17:00:00,BBT,BANDUNG BUAH BATU,0 days 02:00:00,2023-11-10 19:00:00,BKSOC,BEKASI BEBEK OCEN,90.0,0 days,1.0,9.0,90.0
BBT-BKSOC,Sunday,2023-11-10 19:00:00,BBT,BANDUNG BUAH BATU,0 days 02:00:00,2023-11-10 21:00:00,BKSOC,BEKASI BEBEK OCEN,73.5632183908046,0 days,1.0,24.0,73.5632183908046
BBT-BKSOC,Sunday,2023-11-10 21:00:00,BBT,BANDUNG BUAH BATU,0 days 02:00:00,2023-11-10 23:00:00,BKSOC,BEKASI BEBEK OCEN,83.0,0 days,1.0,7.0,83.0
BBT-BKSOC,Thursday,2023-11-10 06:00:00,BBT,BANDUNG BUAH BATU,0 days 02:00:00,2023-11-10 08:00:00,BKSOC,BEKASI BEBEK OCEN,50.0,0 days,1.0,4.0,50.0
BBT-BKSOC,Thursday,2023-11-10 08:00:00,BBT,BANDUNG BUAH BATU,0 days 02:00:00,2023-11-10 10:00:00,BKSOC,BEKASI BEBEK OCEN,80.0,0 days,1.0,8.0,80.0
BBT-BKSOC,Thursday,2023-11-10 09:00:00,BBT,BANDUNG BUAH BATU,0 days 02:00:00,2023-11-10 11:00:00,BKSOC,BEKASI BEBEK OCEN,20.0,0 days,1.0,2.0,20.0
BBT-BKSOC,Thursday,2023-11-10 10:00:00,BBT,BANDUNG BUAH BATU,0 days 02:00:00,2023-11-10 12:00:00,BKSOC,BEKASI BEBEK OCEN,80.0,0 days,1.0,8.0,80.0
BBT-BKSOC,Thursday,2023-11-10 13:00:00,BBT,BANDUNG BUAH BATU,0 days 02:00:00,2023-11-10 15:00:00,BKSOC,BEKASI BEBEK OCEN,56.05263157894737,0 days,1.0,5.0,56.05263157894737
BBT-BKSOC,Thursday,2023-11-10 15:00:00,BBT,BANDUNG BUAH BATU,0 days 02:00:00,2023-11-10 17:00:00,BKSOC,BEKASI BEBEK OCEN,83.33333333333333,0 days,1.0,7.0,83.33333333333333
BBT-BKSOC,Thursday,2023-11-10 16:00:00,BBT,BANDUNG BUAH BATU,0 days 02:00:00,2023-11-10 18:00:00,BKSOC,BEKASI BEBEK OCEN,62.5,0 days,1.0,5.0,62.5
BBT-BKSOC,Thursday,2023-11-10 17:00:00,BBT,BANDUNG BUAH BATU,0 days 02:00:00,2023-11-10 19:00:00,BKSOC,BEKASI BEBEK OCEN,37.5,0 days,1.0,3.0,37.5
BBT-BKSOC,Thursday,2023-11-10 20:00:00,BBT,BANDUNG BUAH BATU,0 days 02:00:00,2023-11-10 22:00:00,BKSOC,BEKASI BEBEK OCEN,62.916666666666664,0 days,1.0,5.0,62.916666666666664
BBT-BKSOC,Tuesday,2023-11-10 07:00:00,BBT,BANDUNG BUAH BATU,0 days 02:00:00,2023-11-10 09:00:00,BKSOC,BEKASI BEBEK OCEN,30.0,0 days,1.0,3.0,30.0
